regionID,sumDeliveries,zipCode,city,lat,lon
480,211,9342,SANTA MARIA DEL CAMPO,42.133,-4.025066666666667
481,391,26121,VIGUERA,42.3093,-2.542325
482,5177,46512,FAURA,39.7167,-0.25
483,1585,25332,FULIOLA,41.7194,1.0048
484,57,9540,TRESPADERNE,42.8022,-3.4057
485,11363,17252,SAN ANTONI DE CALONGE,41.8457,3.0997
486,683,9560,ESPINOSA DE LOS MONTEROS,43.0775,-3.5536
487,1919,50170,MEQUINENZA,41.3721,0.3017
488,194,42142,ESPEJÓN,41.7909,-3.2261
489,776,42148,CASAREJOS,41.7965,-2.9749125000000003
490,171,9670,QUINTANAR DE LA SIERRA,41.9829,-3.0377
491,352,25720,BELLVER DE CERDAÑA,42.3667,1.7833
492,960,19283,ANGUITA,41.0266,-2.39482
493,7437,10004,CACERES,39.4765,-6.3722
494,2766,43320,PRATDIP,41.0857,0.8565999999999999
495,500,27200,PALAS DE REI,42.8895,-7.8954
496,280,10110,MADRIGALEJO,39.1386,-5.6274
497,1173,10189,ZARZA DE MONTANCHEZ,39.3036,-6.0183
498,36166,15670,"BURGO, EL (CULLEREDO)",43.3167,-8.3667
499,814,32514,FEAS (BOBORAS),42.4167,-7.930907894736844
500,10697,15959,OURENSE,42.5833,-8.95
501,634,10140,GUADALUPE,39.4508,-5.3259
502,580,24398,ALMÁZCARA,42.6176,-6.49105
503,301,49519,RABANALES,41.7585,-6.284439999999999
504,359,25552,VILALLER,42.4762,0.7251
505,27380,47014,VALLADOLID,41.6552,-4.7237
506,803,26511,"VILLAR DE ARNEDO, EL",42.3209,-2.0953
507,711,10184,TORREMOCHA,39.3457,-6.1733
508,657,33555,CARREÑA DE CABRALES,43.3174,-4.861716666666666
509,585,19115,ALMOGUERA,40.2971,-2.9824
510,1357,21130,MAZAGON,37.1142,-6.7644
511,2141,23770,MARMOLEJO,38.0455,-4.1703
512,633,16441,VILLAS VIEJAS,39.8593,-2.7154
513,3576,45214,CEDILLO DEL CONDADO,40.1126,-3.9213
514,1792,17520,PUIGCERDA,42.4168,1.9203
515,176,10210,MADROÑERA,39.4253,-5.7557
